words,level
american,A1
the,A1
april,A2
brother,A2
very,A2
small,A2
picture,A2
please,A2
pencil,A2
message,A2
high,A2
day,A2
library,A2
programme,A2
we,A2
little,A2
meter,A2
door,A2
onion,A2
coffee,A2
goodbye,A2
nurse,A2
light,A2
move,A2
send,A2
painting,A2
fat,A2
november,A2
well,A2
age,A2
because,A2
class,A2
exciting,A2
best,A2
six,A2
tomato,A2
carrot,A2
map,A2
midnight,A2
father,A2
market,A2
beginning,A2
telephone,A2
birthday,A2
thirteen,A2
last,A2
kilometre,A2
date,A2
cup,A2
how,A2
lion,A2
full,A2
visitor,A2
south,A2
magazine,A2
page,A2
yeah,A2
as,A2
to,A2
news,A2
jeans,A2
school,A2
story,A2
on,A2
sandwich,A2
but,A2
floor,A2
here,A2
foot,A2
something,A2
spend,A2
some,A2
walk,A2
bathroom,A2
funny,A2
sing,A2
i,A2
sweater,A2
swim,A2
that,A2
live,A2
june,A2
happy,A2
word,A2
dad,A2
water,A2
shower,A2
tshirt,A2
teacher,A2
machine,A2
aunt,A2
wash,A2
false,A2
internet,A2
seventeen,A2
mom,A2
glass,A2
apartment,A2
mouse,A2
try,A2
cut,A2
ride,A2
us,A2
boyfriend,A2
also,A2
boat,A2
cooking,A2
program,A2
perfect,A2
member,A2
paragraph,A2
sheep,A2
reader,A2
umbrella,A2
website,A2
ever,A2
they,A2
paper,A2
include,A2
put,A2
capital,A2
cold,A2
cheap,A2
hello,A2
march,A2
red,A2
pound,A2
there,A2
ok,A2
ocean,A2
hobby,A2
her,A2
natural,A2
think,A2
bread,A2
city,A2
fourteen,A2
phrase,A2
seventy,A2
practise,A2
difference,A2
hate,A2
order,A2
short,A2
talk,A2
flight,A2
colour,A2
his,A2
january,A2
nice,A2
actress,A2
tourist,A2
of,A2
dirty,A2
take,A2
language,A2
reading,A2
future,A2
weekend,A2
fine,A2
half,A2
song,A2
hundred,A2
angry,A2
product,A2
than,A2
post,A2
menu,A2
behind,A2
favourite,A2
ago,A2
young,A2
anyone,A2
yourself,A2
if,A2
doctor,A2
again,A2
writing,A2
mile,A2
dollar,A2
popular,A2
pay,A2
result,A2
north,A2
chicken,A2
sport,A2
two,A2
down,A2
late,A2
dish,A2
modern,A2
tell,A2
player,A2
success,A2
saturday,A2
come,A2
desk,A2
learn,A2
above,A2
policeman,A2
neighbour,A2
dance,A2
love,A2
begin,A2
fun,A2
butter,A2
thanks,A2
possible,A2
art,A2
useful,A2
awesome,A2
at,A2
reason,A2
relax,A2
an,A2
computer,A2
interesting,A2
month,A2
break,A2
travel,A2
hospital,A2
building,A2
second,A2
repeat,A2
autumn,A2
milk,A2
morning,A2
open,A2
bed,A2
rule,A2
area,A2
juice,A2
horse,A2
describe,A2
cent,A2
cheese,A2
shopping,A2
bicycle,A2
present,A2
buy,A2
video,A2
college,A2
writer,A2
nine,A2
jacket,A2
before,A2
lot,A2
discuss,A2
give,A2
skirt,A2
dark,A2
statement,A2
quarter,A2
fish,A2
across,A2
body,A2
company,A2
trousers,A2
event,A2
vacation,A2
near,A2
out,A2
grey,A2
guess,A2
born,A2
woman,A2
five,A2
feeling,A2
cow,A2
then,A2
fact,A2
shoe,A2
build,A2
garden,A2
restaurant,A2
just,A2
land,A2
thirty,A2
key,A2
fast,A2
everybody,A2
cannot,A2
vegetable,A2
quick,A2
model,A2
excited,A2
probably,A2
river,A2
call,A2
mall,A2
opinion,A2
do,A2
thank,A2
eat,A2
help,A2
newspaper,A2
eight,A2
text,A2
with,A2
pink,A2
famous,A2
once,A2
beautiful,A2
healthy,A2
white,A2
finish,A2
always,A2
change,A2
shop,A2
big,A2
group,A2
yellow,A2
style,A2
old,A2
worker,A2
start,A2
outside,A2
feel,A2
wait,A2
downstairs,A2
cinema,A2
friend,A2
purple,A2
find,A2
center,A2
family,A2
me,A2
detail,A2
eleven,A2
chair,A2
potato,A2
sister,A2
apple,A2
so,A2
practice,A2
only,A2
ready,A2
thousand,A2
sixty,A2
agree,A2
island,A2
upstairs,A2
quite,A2
tooth,A2
compare,A2
carry,A2
bath,A2
smart,A2
concert,A2
weather,A2
exam,A2
shirt,A2
have,A2
wine,A2
into,A2
girlfriend,A2
space,A2
wall,A2
spell,A2
she,A2
thing,A2
for,A2
correct,A2
guitar,A2
tall,A2
culture,A2
gym,A2
blue,A2
even,A2
band,A2
ice,A2
breakfast,A2
euro,A2
long,A2
few,A2
your,A2
boy,A2
everything,A2
interest,A2
opposite,A2
introduce,A2
description,A2
online,A2
someone,A2
world,A2
sixteen,A2
way,A2
hi,A2
what,A2
singer,A2
adult,A2
car,A2
person,A2
blog,A2
lose,A2
check,A2
daughter,A2
fire,A2
bar,A2
soup,A2
music,A2
pants,A2
grandfather,A2
where,A2
arrive,A2
night,A2
hear,A2
create,A2
october,A2
far,A2
more,A2
lunch,A2
married,A2
oh,A2
over,A2
both,A2
grandparent,A2
cool,A2
choose,A2
taxi,A2
fly,A2
pool,A2
early,A2
hat,A2
remember,A2
pair,A2
dictionary,A2
chocolate,A2
forget,A2
plant,A2
clean,A2
piano,A2
anything,A2
life,A2
farmer,A2
home,A2
name,A2
question,A2
box,A2
cd,A2
go,A2
one,A2
blonde,A2
meat,A2
film,A2
rice,A2
bill,A2
december,A2
parent,A2
important,A2
meal,A2
fall,A2
